Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,2014.0,2020.0,1375.75,1589.449951171875,1075.5428466796875,34819618
2011-04-01,1595.0,1949.800048828125,1575.1500244140625,1877.199951171875,1270.2568359375,31020685
2011-07-01,1890.0,2237.0,1720.0,1941.75,1368.1397705078125,31055051
2011-10-01,1933.949951171875,2249.699951171875,1764.9000244140625,1905.1500244140625,1366.6956787109375,33300888
2012-01-01,1914.800048828125,2209.949951171875,1704.0,2055.25,1474.372802734375,33842141
2012-04-01,2070.0,2279.0,1795.1500244140625,2149.39990234375,1541.912841796875,29078262
2012-07-01,2148.0,2148.0,1745.0,1880.300048828125,1348.8690185546875,21916072
2012-10-01,1892.0,1966.0,1662.0,1900.5999755859375,1395.159423828125,20369012
2013-01-01,1905.3499755859375,1939.25,1515.949951171875,1542.0,1131.9249267578125,19259132
2013-04-01,1545.0,1795.5999755859375,1435.0,1663.050048828125,1220.7830810546875,20228491
2013-07-01,1667.0,2130.0,1638.0,2009.25,1474.915771484375,27686402
2013-10-01,2030.0,2209.949951171875,1967.0,2075.300048828125,1569.942626953125,19104044
2014-01-01,2083.0,2300.0,1907.0999755859375,2274.800048828125,1720.862060546875,18613853
2014-04-01,2274.800048828125,2787.699951171875,2115.050048828125,2634.64990234375,1993.0853271484375,24370450
2014-07-01,2625.10009765625,3029.0,2393.14990234375,2839.550048828125,2148.090087890625,25704788
2014-10-01,2881.0,3269.949951171875,2725.949951171875,3106.64990234375,2436.5654296875,39470820
2015-01-01,3111.0,3146.89990234375,2552.0,2639.800048828125,2070.41162109375,44566105
2015-04-01,2639.949951171875,2737.89990234375,2251.300048828125,2523.5,1979.1971435546875,44650567
2015-07-01,2525.10009765625,2793.800048828125,2257.199951171875,2394.5,1899.14794921875,26010286
2015-10-01,2400.0,2738.0,2400.0,2694.10009765625,2136.769775390625,19798649
2016-01-01,2689.0,2985.949951171875,2377.14990234375,2945.699951171875,2336.3203125,22699955
2016-04-01,2931.10009765625,3226.0,2820.35009765625,3178.25,2556.889892578125,25300683
2016-07-01,3188.699951171875,3740.0,3095.0,3413.699951171875,2746.30859375,23704771
2016-10-01,3436.39990234375,3594.0,2849.5,3043.64990234375,2470.625732421875,24309543
2017-01-01,3042.0,3412.0,2962.550048828125,3221.949951171875,2615.357177734375,25694281
2017-04-01,3222.800048828125,3880.550048828125,3175.0,3701.35009765625,3053.88671875,19149962
2017-07-01,3688.0,4091.949951171875,3605.0,3774.550048828125,3139.626220703125,22427382
2017-10-01,3774.550048828125,3882.89990234375,3410.0,3785.14990234375,3148.442626953125,20542664
2018-01-01,3810.0,3810.0,3361.050048828125,3542.800048828125,2946.859375,19963661
2018-04-01,3544.0,3825.0,3445.949951171875,3473.5,2934.091552734375,19187975
2018-07-01,3480.0,3670.0,2877.85009765625,2933.25,2477.738525390625,28271963
2018-10-01,2910.0,3380.0,2648.0,3104.25,2651.783935546875,34866168
2019-01-01,3089.0,3135.0,2515.0,2553.14990234375,2181.010498046875,43502766
2019-04-01,2573.0,2859.14990234375,2475.0,2581.5,2247.28564453125,42916540
2019-07-01,2596.0,3022.89990234375,2225.60009765625,2704.75,2354.578857421875,69339492
2019-10-01,2715.699951171875,2759.0,2263.0,2443.050048828125,2153.835693359375,50540480
2020-01-01,2454.89990234375,2531.0,1475.0,1596.449951171875,1407.45849609375,62420539
2020-04-01,1590.0999755859375,2590.64990234375,1543.1500244140625,2546.949951171875,2309.129638671875,120524215
2020-07-01,2556.0,3222.050048828125,2530.0,3147.300048828125,2853.422119140625,101396863
2020-10-01,3165.0,3394.89990234375,2787.0,3110.0,2845.191162109375,98484733
2021-01-01,3115.0,3629.050048828125,2902.0,2913.60009765625,2665.51416015625,75678281
2021-04-01,2949.0,3090.0,2741.10009765625,2902.60009765625,2659.232666015625,52990738
2021-07-01,2905.0,2968.949951171875,2636.0,2832.5,2595.010498046875,35688442
2021-10-01,2827.199951171875,2950.0,2310.0,2462.10009765625,2263.639404296875,33451275
2022-01-01,2463.0,2872.300048828125,2146.85009765625,2294.14990234375,2109.22705078125,49286191
2022-04-01,2185.0,2809.949951171875,2150.0,2719.699951171875,2555.75390625,51813655
2022-07-01,2715.0,2938.60009765625,2510.0,2549.199951171875,2395.53173828125,40234135
2022-10-01,2538.5,2884.0,2502.75,2738.85009765625,2639.520751953125,28457442
2023-01-01,2738.85009765625,2822.85009765625,2246.0,2347.35009765625,2262.218994140625,21262759
2023-04-01,2385.0,3026.0,2372.050048828125,2910.10009765625,2877.721435546875,38633306
2023-07-01,2875.0,3244.0,2862.39990234375,3057.25,3023.234130859375,46642649
2023-10-01,3057.25,3579.800048828125,2923.949951171875,3548.60009765625,3548.60009765625,23024319
