Date,Open,High,Low,Close,Adj Close,Volume
2002-08-01,420.0,435.5,360.79998779296875,423.75,415.0450744628906,4468600
2002-11-01,425.0,565.0,401.8500061035156,513.4000244140625,502.8534240722656,10295400
2003-02-01,515.0,554.4000244140625,466.0,482.8999938964844,472.9800109863281,8255200
2003-05-01,482.8999938964844,642.0,459.5,638.5499877929688,625.432373046875,10796300
2003-08-01,640.0,924.0,617.2000122070312,918.0,899.1419677734375,10188000
2003-11-01,918.0,1210.300048828125,801.4000244140625,999.0499877929688,978.52685546875,11693600
2004-02-01,999.0499877929688,1070.0,793.0,920.7999877929688,901.88427734375,11326900
2004-05-01,915.0,960.0,765.0999755859375,823.7000122070312,806.7791748046875,7790100
2004-08-01,850.0,1059.949951171875,822.0,956.4000244140625,936.7531127929688,9045600
2004-11-01,973.0,1159.800048828125,921.2000122070312,1039.199951171875,1017.8521118164062,8711300
2005-02-01,1045.0,1132.0,1002.25,1082.699951171875,1060.4583740234375,5792300
2005-05-01,1080.0,1457.0,1020.0,1449.0999755859375,1419.331787109375,8557500
2005-08-01,1509.9000244140625,1834.800048828125,1325.0,1707.199951171875,1672.1298828125,10884300
2005-11-01,1707.199951171875,2235.0,1707.199951171875,2154.64990234375,2110.387939453125,9986700
2006-02-01,2160.0,3050.0,2077.25,3011.10009765625,2949.24462890625,14798400
2006-05-01,3040.0,3325.0,2074.10009765625,2462.199951171875,2411.6201171875,12853400
2006-08-01,2463.0,3187.0,2450.0,2748.0,2691.549072265625,13708900
2006-11-01,2778.0,2996.800048828125,2475.0,2772.14990234375,2715.20263671875,14213300
2007-02-01,2780.0,3375.199951171875,2250.0,2447.449951171875,2397.1728515625,17035800
2007-05-01,2447.449951171875,2767.199951171875,2058.0,2354.800048828125,2306.426513671875,24021600
2007-08-01,2350.0,2690.0,2127.0,2476.5,2425.62646484375,11417600
2007-11-01,2480.0,2900.0,1850.0,2385.0,2336.005859375,10474400
2008-02-01,2360.0,2509.89990234375,585.0,713.0,698.3532104492188,16546500
2008-05-01,713.0,785.0,38.12447738647461,43.48872756958008,42.595359802246094,399619656
2008-08-01,42.24591064453125,58.16181182861328,10.635162353515625,11.460431098937988,11.244053840637207,35274403
2008-11-01,11.789555549621582,21.024707794189453,8.66041088104248,16.942575454711914,16.622692108154297,120455036
2009-02-01,16.215551376342773,23.579111099243164,13.390971183776855,21.43734359741211,21.0325984954834,17097393
2009-05-01,21.43734359741211,43.47890090942383,21.43734359741211,33.33005905151367,32.70077133178711,20759234
2009-08-01,33.79672622680664,35.172176361083984,24.463329315185547,30.603723526000977,30.105976104736328,49500764
2009-11-01,30.603723526000977,36.518150329589844,28.707569122314453,31.301271438598633,30.792173385620117,66830513
2010-02-01,31.301271438598633,36.25288391113281,29.47389030456543,33.79181671142578,33.242218017578125,117392632
2010-05-01,33.89497375488281,54.801788330078125,31.9300479888916,42.27047348022461,41.58296585083008,517507701
2010-08-01,42.353981018066406,55.4895133972168,42.14766311645508,46.195411682128906,45.550724029541016,127619762
2010-11-01,46.48032760620117,49.29016876220703,38.718868255615234,40.163089752197266,39.60258865356445,39032582
2011-02-01,41.165199279785156,59.63550567626953,39.0430793762207,51.92317199707031,51.198551177978516,325990810
2011-05-01,52.36528015136719,56.432674407958984,46.77506637573242,52.63054275512695,51.89604949951172,130812309
2011-08-01,52.95475769042969,61.0993766784668,46.29856872558594,53.23966979980469,52.623573303222656,111282955
2011-11-01,52.73861312866211,54.53160858154297,38.414302825927734,44.132240295410156,43.62154006958008,44745511
2012-02-01,44.21083450317383,76.6026382446289,43.857147216796875,71.8868179321289,71.054931640625,99471699
2012-05-01,72.11278533935547,75.11912536621094,61.895172119140625,73.1541976928711,72.30765533447266,60626776
2012-08-01,73.3899917602539,98.3949966430664,72.01454162597656,85.15499877929688,84.35140228271484,124266258
2012-11-01,85.0999984741211,96.80000305175781,82.0,85.19999694824219,84.3959732055664,74845840
2013-02-01,85.42500305175781,87.4000015258789,74.01000213623047,74.19000244140625,73.48988342285156,41204090
2013-05-01,74.19000244140625,78.11000061035156,58.625,58.959999084472656,58.40359878540039,55235350
2013-08-01,58.54999923706055,66.47000122070312,56.099998474121094,63.810001373291016,63.356712341308594,24776670
2013-11-01,63.7400016784668,76.69999694824219,63.70000076293945,68.01499938964844,67.53184509277344,19564710
2014-02-01,67.11499786376953,83.79499816894531,65.83499908447266,83.21499633789062,82.62386322021484,17571060
2014-05-01,83.21499633789062,98.80000305175781,78.88500213623047,94.42500305175781,93.75421905517578,50443080
2014-08-01,93.5,116.48500061035156,91.26499938964844,106.83499908447266,106.27005767822266,31798450
2014-11-01,106.83499908447266,149.89999389648438,102.0999984741211,144.7550048828125,143.98953247070312,67157170
2015-02-01,144.3000030517578,157.39500427246094,125.8550033569336,143.49000549316406,142.73121643066406,53300540
2015-05-01,143.49000549316406,187.0,135.6750030517578,184.57000732421875,183.593994140625,43191710
2015-08-01,185.89999389648438,216.0,166.1999969482422,196.8000030517578,195.95425415039062,49868150
2015-11-01,197.0,206.60499572753906,180.39999389648438,186.1649932861328,185.3649444580078,23197350
2016-02-01,189.39999389648438,193.89999389648438,155.125,187.53500366210938,186.7290496826172,40405570
2016-05-01,188.0,278.489990234375,172.55499267578125,272.3900146484375,271.50531005859375,96498270
2016-08-01,273.9800109863281,344.5,257.614990234375,338.32000732421875,337.2212219238281,111786900
