Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,18.888887405395508,27.55555534362793,17.988887786865234,23.66666603088379,7.204440593719482,4788000
1996-04-01,23.66666603088379,28.888887405395508,23.22222137451172,26.188888549804688,7.9722394943237305,6073200
1996-07-01,26.0,27.888887405395508,19.377777099609375,19.377777099609375,5.898845672607422,26689500
1996-10-01,19.372222900390625,22.22222137451172,14.433333396911621,17.377777099609375,5.290022850036621,8998200
1997-01-01,17.77777671813965,29.27777671813965,17.77777671813965,23.03333282470703,7.011645317077637,22827600
1997-04-01,22.0,43.0,21.333332061767578,41.4555549621582,12.619611740112305,67205700
1997-07-01,41.61111068725586,44.77777862548828,30.16666603088379,36.9555549621582,11.249750137329102,48529800
1997-10-01,37.22222137451172,39.88888931274414,30.55555534362793,31.549999237060547,9.661689758300781,11727000
1998-01-01,31.72222137451172,32.22222137451172,24.22222137451172,30.627777099609375,9.37927532196045,6189300
1998-04-01,31.11111068725586,36.666664123535156,19.388887405395508,19.78333282470703,6.0583343505859375,9451800
1998-07-01,19.77777671813965,22.77777671813965,18.333332061767578,19.5222225189209,5.978372097015381,21413700
1998-10-01,19.5222225189209,23.316665649414062,18.0,22.44444465637207,6.9746317863464355,4742100
1999-01-01,22.544443130493164,22.66666603088379,12.127777099609375,13.277776718139648,4.1260833740234375,10125900
1999-04-01,13.322221755981445,20.77777671813965,10.622221946716309,16.905555725097656,5.253418445587158,18072900
1999-07-01,17.02777671813965,29.427776336669922,16.711111068725586,25.044443130493164,7.782586574554443,43573500
1999-10-01,25.233333587646484,29.55555534362793,22.77777671813965,23.077777862548828,7.360705852508545,26154900
2000-01-01,22.77777671813965,26.100000381469727,14.894444465637207,15.166666030883789,4.837440013885498,11146194
2000-04-01,15.266666412353516,17.55555534362793,10.566665649414062,15.672222137451172,4.9986891746521,20618109
2000-07-01,15.444443702697754,16.44444465637207,11.777776718139648,11.844444274902344,3.9292256832122803,7822719
2000-10-01,11.844444274902344,15.0,10.90555477142334,13.316665649414062,4.519168376922607,11723661
2001-01-01,13.61111068725586,18.66666603088379,12.80555534362793,14.744443893432617,5.0037031173706055,23707611
2001-04-01,13.788887977600098,20.44444465637207,13.444443702697754,17.299999237060547,5.870960235595703,11385774
2001-07-01,15.838888168334961,20.0,13.333333015441895,15.005555152893066,5.092312812805176,3611016
2001-10-01,15.0,17.188888549804688,14.355554580688477,15.100000381469727,5.903098106384277,2733273
2002-01-01,15.133333206176758,31.733333587646484,14.777776718139648,30.516666412353516,11.929990768432617,81961587
2002-04-01,31.083332061767578,46.21110916137695,31.083332061767578,36.31111145019531,14.195236206054688,498973518
2002-07-01,36.57777786254883,42.71110916137695,36.127777099609375,37.916664123535156,14.822894096374512,146756385
2002-10-01,37.88888931274414,45.5555534362793,37.33333206176758,38.916664123535156,15.801648139953613,86426892
2003-01-01,39.04999923706055,43.383331298828125,37.0,39.5,16.038501739501953,72014940
2003-04-01,39.77777862548828,57.21110916137695,38.905555725097656,53.72222137451172,22.848796844482422,228697839
2003-07-01,54.0,77.0888900756836,48.911109924316406,67.9111099243164,28.883520126342773,537680907
2003-10-01,69.11111450195312,90.32221984863281,63.11111068725586,88.69444274902344,38.44861602783203,424756764
2004-01-01,90.55555725097656,111.11111450195312,73.88888549804688,93.4111099243164,40.49326705932617,1055954997
2004-04-01,92.0,105.33333587646484,56.666664123535156,69.87777709960938,30.875328063964844,1706948019
2004-07-01,70.0,84.96666717529297,69.44444274902344,83.25555419921875,36.78628158569336,1242477828
2004-10-01,82.77777862548828,96.22222137451172,82.68333435058594,91.10555267333984,40.8264274597168,751240296
